state;account_length;area_code;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;churn
OH;107;area_code_415;no;yes;26;161,6;123;27,5;195,5;103;16,6;254,4;103;11,5;13,7;3;3,7;1;no
NJ;137;area_code_415;no;no;0;243,4;114;41,4;121,2;110;10,3;162,6;104;7,3;12,2;5;3,3;0;no
OH;84;area_code_408;yes;no;0;299,4;71;50,9;61,9;88;5,3;196,9;89;8,9;6,6;7;1,8;2;no
OK;75;area_code_415;yes;no;0;166,7;113;28,3;148,3;122;12,6;186,9;121;8,4;10,1;3;2,7;3;no
MA;121;area_code_510;no;yes;24;218,2;88;37,1;348,5;108;29,6;212,6;118;9,6;7,5;7;2,0;3;no
MO;147;area_code_415;yes;no;0;157,0;79;26,7;103,1;94;8,8;211,8;96;9,5;7,1;6;1,9;0;no
LA;117;area_code_408;no;no;0;184,5;97;31,4;351,6;80;29,9;215,8;90;9,7;8,7;4;2,4;1;no
WV;141;area_code_415;yes;yes;37;258,6;84;44,0;222,0;111;18,9;326,4;97;14,7;11,2;5;3,0;0;no
IN;65;area_code_415;no;no;0;129,1;137;22,0;228,5;83;19,4;208,8;111;9,4;12,7;6;3,4;4;yes
RI;74;area_code_415;no;no;0;187,7;127;31,9;163,4;148;13,9;196,0;94;8,8;9,1;5;2,5;0;no
IA;168;area_code_408;no;no;0;128,8;96;21,9;104,9;71;8,9;141,1;128;6,4;11,2;2;3,0;1;no
MT;95;area_code_510;no;no;0;156,6;88;26,6;247,6;75;21,1;192,3;115;8,7;12,3;5;3,3;3;no
NY;161;area_code_415;no;no;0;332,9;67;56,6;317,8;97;27,0;160,6;128;7,2;5,4;9;1,5;4;yes
ID;85;area_code_408;no;yes;27;196,4;139;33,4;280,9;90;23,9;89,3;75;4,0;13,8;4;3,7;1;no
VA;76;area_code_510;no;yes;33;189,7;66;32,3;212,8;65;18,1;165,7;108;7,5;10,0;5;2,7;1;no
TX;73;area_code_415;no;no;0;224,4;90;38,2;159,5;88;13,6;192,8;74;8,7;13,0;2;3,5;1;no
FL;147;area_code_415;no;no;0;155,1;117;26,4;239,7;93;20,4;208,8;133;9,4;10,6;4;2,9;0;no
CO;77;area_code_408;no;no;0;62,4;89;10,6;169,9;121;14,4;209,6;64;9,4;5,7;6;1,5;5;yes
AZ;130;area_code_415;no;no;0;183,0;112;31,1;72,9;99;6,2;181,8;78;8,2;9,5;19;2,6;0;no
SC;111;area_code_415;no;no;0;110,4;103;18,8;137,3;102;11,7;189,6;105;8,5;7,7;6;2,1;2;no
VA;132;area_code_510;no;no;0;81,1;86;13,8;245,2;72;20,8;237,0;115;10,7;10,3;2;2,8;0;no
WY;57;area_code_408;no;yes;39;213,0;115;36,2;191,1;112;16,2;182,7;115;8,2;9,5;3;2,6;0;no
MT;54;area_code_408;no;no;0;134,3;73;22,8;155,5;100;13,2;102,1;68;4,6;14,7;4;4,0;3;no
MO;20;area_code_415;no;no;0;190,0;109;32,3;258,2;84;22,0;181,5;102;8,2;6,3;6;1,7;0;no
HI;49;area_code_510;no;no;0;119,3;117;20,3;215,1;109;18,3;178,7;90;8,0;11,1;1;3,0;1;no
